StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2#1_1,Q2#1_2,Q2#1_3,Q2#1_4,Q42_First Click,Q42_Last Click,Q42_Page Submit,Q42_Click Count,Q11#1_1,Q11#1_2,Q11#1_3,Q11#1_4,Q12#1_1,Q12#1_2,Q13,Q15,Q16,Q17,Q18,Q43_First Click,Q43_Last Click,Q43_Page Submit,Q43_Click Count,Q22#1_1,Q22#1_2,Q22#1_3,Q22#1_4,Q22#1_5,Q23#1_1,Q23#1_2,Q24,Q26,Q27,Q28,Q29,Q44_First Click,Q44_Last Click,Q44_Page Submit,Q44_Click Count,Q33#1_1,Q33#1_2,Q33#1_3,Q33#1_4,Q33#1_5,Q34#1_1,Q34#1_2,Q35,Q37,Q38,Q39,Q40
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Pre Test Items - For the items below, please rate them according to how strongly you agree (or disagree) with them - 'I support the 2013 Affordable Care Act'","Pre Test Items - For the items below, please rate them according to how strongly you agree (or disagree) with them - 'Our government needs health reform because the underprivileged are not getting their basic needs met'","Pre Test Items - For the items below, please rate them according to how strongly you agree (or disagree) with them - 'Universal health care is just designed to make the hard-working people of America pay for the health care of the lazy people of America'","Pre Test Items - For the items below, please rate them according to how strongly you agree (or disagree) with them - 'Access to medical care and insurance is a basic, inherent right of man'",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Post Test Items - For the items below, please rate them according to how strongly you agree (or disagree) with them - 'I support the 2013 Affordable Care Act'","Post Test Items - For the items below, please rate them according to how strongly you agree (or disagree) with them - 'Our government needs health reform because the underprivileged are not getting their basic needs met'","Post Test Items - For the items below, please rate them according to how strongly you agree (or disagree) with them - 'Universal health care is just designed to make the hard-working people of America pay for the health care of the lazy people of America'","Post Test Items - For the items below, please rate them according to how strongly you agree (or disagree) with them - 'Access to medical care and insurance is a basic, inherent right of man'","Now that you have completed the exercise, we would like to ask you some follow-up questions. Plea... - Please answer yes or no - Do you pay for your own health insurance?","Now that you have completed the exercise, we would like to ask you some follow-up questions. Plea... - Please answer yes or no - Have you ever been uninsured?",What are your thoughts about the exercise you just completed?,What is your age?,To which gender identity do you most identify?,How would you best characterize your race/ethnicity? (check all that apply),What is your year in school?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Post Test Items - For the items below, please rate them according to how strongly you agree (or disagree) with them - 'I support the 2013 Affordable Care Act'","Post Test Items - For the items below, please rate them according to how strongly you agree (or disagree) with them - 'Our government needs health reform because the underprivileged are not getting their basic needs met'","Post Test Items - For the items below, please rate them according to how strongly you agree (or disagree) with them - 'Universal health care is just designed to make the hard-working people of America pay for the health care of the lazy people of America'","Post Test Items - For the items below, please rate them according to how strongly you agree (or disagree) with them - 'Access to medical care and insurance is a basic, inherent right of man'","Post Test Items - For the items below, please rate them according to how strongly you agree (or disagree) with them - 'I would be willing to accept and use this health benefits plan'","Now that you have completed the exercise, we would like to ask you some follow-up questions. Plea... - Please answer yes or no - Do you pay for your own health insurance?","Now that you have completed the exercise, we would like to ask you some follow-up questions. Plea... - Please answer yes or no - Have you ever been uninsured?",What are your thoughts about the exercise you just completed?,What is your age?,To which gender identity do you most identify?,How would you best characterize your race/ethnicity? (check all that apply),What is your year in school?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Post Test Items - For the items below, please rate them according to how strongly you agree (or disagree) with them - 'I support the 2013 Affordable Care Act'","Post Test Items - For the items below, please rate them according to how strongly you agree (or disagree) with them - 'Our government needs health reform because the underprivileged are not getting their basic needs met'","Post Test Items - For the items below, please rate them according to how strongly you agree (or disagree) with them - 'Universal health care is just designed to make the hard-working people of America pay for the health care of the lazy people of America'","Post Test Items - For the items below, please rate them according to how strongly you agree (or disagree) with them - 'Access to medical care and insurance is a basic, inherent right of man'","Post Test Items - For the items below, please rate them according to how strongly you agree (or disagree) with them - 'I would be willing to accept and use this health benefits plan'","Now that you have completed the exercise, we would like to ask you some follow-up questions. Plea... - Please answer yes or no - Do you pay for your own health insurance?","Now that you have completed the exercise, we would like to ask you some follow-up questions. Plea... - Please answer yes or no - Have you ever been uninsured?",What are your thoughts about the exercise you just completed?,What is your age?,To which gender identity do you most identify?,How would you best characterize your race/ethnicity? (check all that apply),What is your year in school?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2#1_1""}","{""ImportId"":""QID2#1_2""}","{""ImportId"":""QID2#1_3""}","{""ImportId"":""QID2#1_4""}","{""ImportId"":""QID42_FIRST_CLICK""}","{""ImportId"":""QID42_LAST_CLICK""}","{""ImportId"":""QID42_PAGE_SUBMIT""}","{""ImportId"":""QID42_CLICK_COUNT""}","{""ImportId"":""QID11#1_1""}","{""ImportId"":""QID11#1_2""}","{""ImportId"":""QID11#1_3""}","{""ImportId"":""QID11#1_4""}","{""ImportId"":""QID12#1_1""}","{""ImportId"":""QID12#1_2""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID43_FIRST_CLICK""}","{""ImportId"":""QID43_LAST_CLICK""}","{""ImportId"":""QID43_PAGE_SUBMIT""}","{""ImportId"":""QID43_CLICK_COUNT""}","{""ImportId"":""QID22#1_1""}","{""ImportId"":""QID22#1_2""}","{""ImportId"":""QID22#1_3""}","{""ImportId"":""QID22#1_4""}","{""ImportId"":""QID22#1_5""}","{""ImportId"":""QID23#1_1""}","{""ImportId"":""QID23#1_2""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID44_FIRST_CLICK""}","{""ImportId"":""QID44_LAST_CLICK""}","{""ImportId"":""QID44_PAGE_SUBMIT""}","{""ImportId"":""QID44_CLICK_COUNT""}","{""ImportId"":""QID33#1_1""}","{""ImportId"":""QID33#1_2""}","{""ImportId"":""QID33#1_3""}","{""ImportId"":""QID33#1_4""}","{""ImportId"":""QID33#1_5""}","{""ImportId"":""QID34#1_1""}","{""ImportId"":""QID34#1_2""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}"
2019-09-07 14:24:15,2019-09-07 14:24:27,Survey Preview,,100,11,True,2019-09-07 14:24:27,R_5sEgrv8SKJmM0zD,,,,,37.1446990966796875,-92.911102294921875,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-07 14:24:30,2019-09-07 14:24:39,Survey Preview,,100,9,True,2019-09-07 14:24:40,R_3J2gYgRN4xv6Mdo,,,,,37.1446990966796875,-92.911102294921875,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-10 21:49:05,2019-09-10 21:54:43,Survey Preview,,100,337,True,2019-09-10 21:54:43,R_2e3GaGZ6fh6dcbf,,,,,38.93359375,-92.36299896240234375,preview,EN,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,No,No,na,18,Female,Asian/Pacific Islander,Sophmore
2019-09-10 21:54:50,2019-09-10 21:56:38,Survey Preview,,100,108,True,2019-09-10 21:56:38,R_wSRbM7dW8FuuCRz,,,,,38.93359375,-92.36299896240234375,preview,EN,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,,,,,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,No,Yes,na,18,Female,Caucasian/White,Sophmore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-17 15:08:57,2019-09-17 16:02:09,IP Address,128.206.42.214,100,3191,True,2019-09-17 16:02:09,R_1mVJNYg99iEv8h1,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Disagree,Somewhat Agree,Neither Agree or Disagree,Somewhat Agree,,,,,,,,,,,,,,,,0,0,1733.61,0,Neither Agree or Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,No,No,"The exercise was definitely thought provoking, as many of the lower-tier options hinged on how altruistic the insurance companies would be, and it certainly required quite a bit of thinking through.",20,Male,Caucasian/White,Sophmore,,,,,,,,,,,,,,,,
2019-09-19 10:28:29,2019-09-19 11:14:20,IP Address,128.206.42.214,100,2751,True,2019-09-19 11:14:21,R_3lWBX3WyuZVMcem,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Neither Agree or Disagree,Somewhat Agree,Somewhat Agree,Neither Agree or Disagree,,,,,,,,,,,,,,,,759.873,759.873,761.69,1,Neither Agree or Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree or Disagree,Yes,No,It really made me realize the importance of recognizing and the steps it takes for the different types of healthcare.,18,Male,Caucasian/White,Freshman,,,,,,,,,,,,,,,,
2019-09-19 10:28:59,2019-09-19 11:17:07,IP Address,128.206.42.165,100,2887,True,2019-09-19 11:17:07,R_1QfGr9jOcGY5Iqt,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Neither Agree or Disagree,Somewhat Agree,Somewhat Disagree,Agree,468.09,468.09,719.716,1,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,No,No,"It got me thinking that this is similar to what the government does with the budget each year, some areas have to suffer in funding to provide to other areas ",18,Female,Caucasian/White,Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-19 11:17:40,2019-09-19 11:34:51,IP Address,128.206.42.214,100,1031,True,2019-09-19 11:34:52,R_1QKN4nDmRvaqQV6,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Neither Agree or Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,443.744,0,Neither Agree or Disagree,Agree,Strongly Disagree,Strongly Agree,Neither Agree or Disagree,No,Yes,I'm confused but I realize that that the healthcare system is systematically designed to prevent people from receiving care based on need but rather financial status.,18,Female,Other,Freshman
