SUBJECT,PRE1,PRE2,PRE3,PRE4,POST1A,POST2A,POST3A,POST4A,POST1B,POST2B,POST3B,POST4B,POST1C,POST2C,POST3C,POST4C
1,Disagree,Somewhat Agree,Neither Agree or Disagree,Somewhat Agree,,,,,Neither Agree or Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,,,,
2,Neither Agree or Disagree,Somewhat Agree,Somewhat Agree,Neither Agree or Disagree,,,,,Neither Agree or Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,,,,
3,Neither Agree or Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,,,,,,,,
4,Neither Agree or Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,,,,,,,,,Neither Agree or Disagree,Agree,Strongly Disagree,Strongly Agree
5,Neither Agree or Disagree,Disagree,Somewhat Agree,Disagree,,,,,,,,,Disagree,Somewhat Disagree,Agree,Disagree
6,Neither Agree or Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,,,,,,,,,Neither Agree or Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree
7,Disagree,Somewhat Agree,Neither Agree or Disagree,Agree,Strongly Disagree,Agree,Neither Agree or Disagree,Agree,,,,,,,,
8,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,,,,,,,,
9,Neither Agree or Disagree,Agree,Disagree,Somewhat Agree,,,,,,,,,Somewhat Agree,Agree,Disagree,Somewhat Agree
10,Neither Agree or Disagree,Agree,Somewhat Agree,Neither Agree or Disagree,,,,,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,,,,
11,Neither Agree or Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,,,,,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,,,,
12,Somewhat Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,,,,,,,,
13,Somewhat Agree,Agree,Strongly Disagree,Agree,Somewhat Agree,Agree,Strongly Disagree,Strongly Agree,,,,,,,,
14,Neither Agree or Disagree,Agree,Somewhat Disagree,Agree,,,,,,,,,Somewhat Disagree,Somewhat Agree,Disagree,Agree
15,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,,,,,Agree,Agree,Strongly Agree,Agree,,,,
16,Neither Agree or Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree or Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,,,,,,,,
17,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,,,,,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,,,,
18,Agree,Agree,Disagree,Agree,,,,,,,,,Agree,Agree,Disagree,Agree
19,Neither Agree or Disagree,Somewhat Agree,Neither Agree or Disagree,Agree,,,,,,,,,Neither Agree or Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree
20,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,,,,,,,,
21,Neither Agree or Disagree,Strongly Agree,Neither Agree or Disagree,Agree,,,,,Neither Agree or Disagree,Strongly Agree,Disagree,Strongly Agree,,,,
22,Neither Agree or Disagree,Somewhat Agree,Somewhat Agree,Agree,,,,,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,,,,
23,Disagree,Disagree,Agree,Neither Agree or Disagree,Disagree,Disagree,Agree,Neither Agree or Disagree,,,,,,,,
24,Somewhat Agree,Neither Agree or Disagree,Somewhat Agree,Somewhat Agree,,,,,,,,,Somewhat Agree,Neither Agree or Disagree,Somewhat Agree,Agree
