condition,ins_score_1,ins_score_2,Free_Response,0
Intervention,No,No,It was very insightful to learn more about healthcare and insurance ,
Intervention,No,Yes,It was very straightforward and enlightening. ,
Intervention,No,No,"It was fine, kinda interesting opened my eyes to the ammount of insurance that I will need ",
Intervention,No,No,"I feel very privileged, and feel like I need to do research on our universal healthcare system to see if its fair in my eyes.",
Intervention,No,No,I think everyone should have a right to be healthy however it does suck that other people have to pay for it from there own money they make :( Also the government sucks at most things they do I wouldnt trust my healthcare with them...,
Intervention,No,Yes,You can't have everything that you want,
Intervention,No,No,I thought it was informative in telling you what goes into healthcare and how you cannot cover everything.,
Intervention,No,No,I think this is a great way to get people to understand what goes into the government paying for medical bills. ,
Intervention,No,No,"Some categories were easy to prioritize, but others were harder based on how it could help our society as a whole.",
Intervention,No,No,It was difficult to figure out what was most important in a plan.,
Intervention,No,No,I think it made me realize the amount of things that go into a health care plan and that it's hard to put everything you need into a single healthcare plan.,
Intervention,No,No,Healthcare is an essential service and the medical advances that we have are a blessing that should be shared. ,
Intervention,No,No,"Fairly interesting in completing the tables, and opened my mind a little more",
Intervention,Yes,No,it makes me think about something I really don't  think about much often.,
Intervention,No,No,I realized the importance of having health care and how controversial the health care system is set up now. ,
Intervention,Yes,Yes,universal healthcare isn't that straight forward,
Intervention,Yes,No,I thought it was very interesting.,
Intervention,No,No,It helped me realize what goes into healthcare,
Intervention,No,Yes,It was good as I got to explore about universal health care,
Intervention,No,No,It wasn't as difficult of a choice as I was expecting,
Intervention,No,Yes,I wish that I could sign up for insurance and etc. as straight forward as this.,
Intervention,No,Yes,Universal Health Care is vital to our society,
Intervention,No,No,Pretty well thought questions,
Intervention,No,No,This opened up my perspective on health care.,
Intervention,No,No,it was much more difficult than I thought it was going to be; I had to compromise points in some places to be able to get at least basic coverage in other areas,
Intervention,No,No,It was extremely hard to not choose high for every option because it really does seem like the morally right option.,
Intervention,No,Yes,This gave me a new perspective on how insurance policies are implemented.,
Intervention,Yes,No,"enjoyed it, overall I believe that there should be Universal Health Care, but I did not realize how complicated it was. This exercise showed me how complicated it will be if the US decides to go through with something like this.",
Intervention,No,No,I thought it was very interesting and i really enjoyed it,
Intervention,No,Yes,I think it was very informational.,
Intervention,No,No,I never realized how expensive all of the insurances added up was.  ,
Intervention,No,No,I don't think Universal Health Care should be implemented.,
Intervention,No,No,I do not know much about medical insurance because I have never had to worry about it personally,
Intervention,Yes,No,knowledgable ,
Intervention,No,No,"I think it is important. People should have to think about these questions, especially privileged people such as myself.",
Intervention,No,Yes,"Does not give the whole picture of affordable care act and what all is does to every american, not just the ones getting the medical care coverage.",
Intervention,No,No,"It made me realize that universal healthcare, although not perfect, will save lives and create a better America for the next generations.",
Intervention,No,No,Didn't now all what goes into health expenses,
Intervention,Yes,No,It was difficult to determine what was best not only for me but for everyone,
Intervention,No,No,I thought it was informative and offered insight into the costs of health insurance.,
Intervention,No,No,I found it hard to only have 47pts.,
Intervention,No,No,eye-opening,
Intervention,No,No,It was an interesting way to state your opinion through healthcare.,
Intervention,No,No,It was intresting because it made me think how I would want things covered. I have CF so I know what it's like to have an expensive medicine and problems with the insurance company.  ,
Intervention,No,No,I think it shows how much insurance costs and how important a health care plan is,
Intervention,No,Yes,It gives good insight on the state and use of healthcare,
Intervention,Yes,No,It was alot to take in because I knew less about the subject than I previously thought.,
Intervention,No,Yes,health care will always be very important to me,
Intervention,No,Yes,Interesting to think about ,
Intervention,No,No,weird to see what you have to pick and choose from because the future is unpredictable,
Intervention,No,No,There is a lot that health insurance covers and it is not affordable for all ,
Intervention,No,No,Interesting,
Intervention,No,No,it was hard to pick what was the most important,
Intervention,No,No,Makes me rethink how others without insurance values certain medical services,
Intervention,Yes,No,Informative on what is being payed for,
Intervention,No,No,"It was alright, just wish the mini list we filled out could actually happen",
Intervention,No,No,"Universal health care is incredibly important to me, and I would entirely support a bill that allowed for religious/cultural exemptions",
Intervention,No,No,Teachs you quite a bit,
Intervention,No,No,"I think it is important that everyone has access to not only equal, and affordable healthcare, but also quality healthcare is important.",
Intervention,No,Yes,very difficult ,
Intervention,No,No,I honestly dont know much about health care ,
Intervention,No,No,It surprised me,
Intervention,No,No,helpful,
Intervention,No,Yes,This exercise makes you really look at universal health care.,
Intervention,No,No,i didn’t know what some of the questions were asking,
Intervention,No,Yes,I didn't find it hard to complete the 47 points exercise which made my belief in universal healthcare stronger,
Intervention,No,No,It is okay,
Intervention,No,No,It is intresting to see all of the things that is covered in health care and I didn't realize how it all adds up so fast like that. ,
Intervention,No,No,It was challenging,
Intervention,No,No,It was interesting to see the different categories that are considered when talking about health benefits and it was hard to pick which ones were more important because I feel like all of them are essential to some extent ,
Intervention,No,No,informative,
Intervention,Yes,No,I think a lot of these questions are phrased in a way to get a specific response.,
Intervention,No,No,It was quick and simple,
Intervention,No,Yes,It made me realize how many different health services there are to consider.,
Intervention,No,No,Insightful,
Intervention,No,No,thought provoking,
Intervention,Yes,No,"I found this exercise to be difficult to complete because of the pros and cons that I saw with the free health insurance. There are many people who make a living by working for these insurance companies, but there are also people who need health insurance but lack the money to do so.",
Intervention,No,No,It's hard for me to think about people having to pick and choose which parts of healthcare they'll have access to when they're all important. It makes me wish healthcare would be reformed for the good of everyone and not just those who can afford it.,
