"","SUBJECT","PRE1","PRE2","PRE3","PRE4","condition","P1","P2","P3","P4","variable","value"
"1","3",4,5,5,6,"A",3,5,5,6,"PRESCORE",5
"2","7",2,5,4,6,"A",1,6,4,6,"PRESCORE",4.25
"3","8",5,6,2,5,"A",5,6,2,5,"PRESCORE",4.5
"4","12",5,6,5,6,"A",5,6,5,6,"PRESCORE",5.5
"5","13",5,6,7,6,"A",5,6,7,7,"PRESCORE",6
"6","16",4,3,5,5,"A",4,3,5,7,"PRESCORE",4.25
"7","20",7,6,6,7,"A",7,6,6,7,"PRESCORE",6.5
"8","23",2,2,2,4,"A",2,2,2,4,"PRESCORE",2.5
"9","25",6,6,6,7,"A",6,6,6,7,"PRESCORE",6.25
"10","30",4,5,3,3,"A",5,5,4,4,"PRESCORE",3.75
"11","32",4,5,2,6,"A",4,5,2,5,"PRESCORE",4.25
"12","36",3,4,3,4,"A",3,4,3,4,"PRESCORE",3.5
"13","39",4,6,3,4,"A",4,6,3,6,"PRESCORE",4.25
"14","40",4,4,5,7,"A",4,4,5,7,"PRESCORE",5
"15","43",6,6,5,7,"A",7,7,6,7,"PRESCORE",6
"16","48",4,4,4,4,"A",4,4,4,4,"PRESCORE",4
"17","50",4,5,3,6,"A",4,5,5,6,"PRESCORE",4.5
"18","53",3,4,3,4,"A",4,4,4,4,"PRESCORE",3.5
"19","56",4,5,6,6,"A",4,3,5,6,"PRESCORE",5.25
"20","59",4,4,4,4,"A",4,4,5,4,"PRESCORE",4
"21","65",4,5,3,5,"A",4,5,3,5,"PRESCORE",4.25
"22","66",7,5,7,7,"A",7,6,5,5,"PRESCORE",6.5
"23","67",5,4,4,5,"A",5,5,3,6,"PRESCORE",4.5
"24","71",7,7,3,6,"A",7,6,1,7,"PRESCORE",5.75
"25","74",7,7,6,6,"A",7,7,6,6,"PRESCORE",6.5
"26","80",6,7,6,5,"A",6,7,5,2,"PRESCORE",6
"27","82",6,7,3,7,"A",6,5,1,7,"PRESCORE",5.75
"28","85",5,3,5,6,"A",4,5,5,5,"PRESCORE",4.75
"29","86",4,5,4,4,"A",4,6,4,4,"PRESCORE",4.25
"30","91",6,7,6,7,"A",6,7,6,7,"PRESCORE",6.5
